ingredient_text,allergens
"peanut sauce, beer nuts, lecithin, riboflavin, turmeric, mono and diglycerides, lactic acid, citric acid, xanthan gum",peanut
"INGREDIENTS: lecithin, monkey nuts, peanut protein, sesame paste, calcium carbonate, vitamin D, couscous, meringue, crawfish, wheat protein, arachis oil, wheat germ, dried albumin. CONTAINS wheat, egg, peanut, sesame. MAY CONTAIN molluscs, sulphites, fish DUE TO SHARED EQUIPMENT","egg,fish,molluscs,peanut,sesame,shellfish,sulphites,wheat"
"preservatives, sugar, sunflower oil, mono and diglycerides, turmeric, sodium bicarbonate, vitamin D",none
"mono and diglycerides, natural flavors, annatto",none
"tahini, mono and diglycerides, sodium bicarbonate, white sesame, tamari, glucose (for color), lecithin, soy sauce, folate","sesame,soy"
"palm oil, canola oil, maltodextrin, xanthan gum (for texture), beta carotene, salt, vitamin A",none
"lactic acid, edamame, vitamin D, textured vegetable protein, mono and diglycerides, calcium carbonate",soy
"mono and diglycerides (as preservative), niacin, invert sugar, ground peanuts, sugar, carrageenan, salt (for texture)",peanut
"canola oil, wine preservative (sulfites), mono and diglycerides, scallop, oyster, fructose, vegetable oil, pecan, lecithin, oyster sauce","molluscs,sulphites,tree_nuts"
"paprika extract, natural flavors, contains sulfites, krill, salmon, shrimp paste, crayfish, sulfur dioxide, tapioca starch, preservatives","fish,shellfish,sulphites"
"dried albumin, walnut, peanut butter, lupini, citric acid, calcium carbonate, ground nut oil, thiamine, sodium bicarbonate, peanut oil, sweet lupin, mustard, dijon mustard","egg,lupin,mustard,peanut,tree_nuts"
"INGREDIENTS: tamari, paprika extract, invert sugar, corn starch (for color), miso, (may contain traces of wheat, molluscs), annatto, langoustine. MAY CONTAIN soy DUE TO SHARED EQUIPMENT","molluscs,shellfish,soy,wheat"
"INGREDIENTS: carrageenan, meringue, tapioca starch, egg wash, glucose, sodium bicarbonate, (produced in a facility that handles egg, tree_nuts, celery), paprika extract, natural flavors","celery,egg,egg,tree_nuts"
"INGREDIENTS: preserved with sulfites, sodium bicarbonate, thiamine, potassium bisulfite, (may be present: molluscs), maltodextrin, corn syrup, guar gum (as preservative), natural flavors, preservatives, potassium metabisulfite, soybean, celery spice, soy flour, fish protein, beta carotene (as preservative). CONTAINS sulphites, molluscs, celery","celery,fish,molluscs,soy,sulphites"
"glucose, turmeric (for color), calcium carbonate, butter, vegetable oil, cheese, salt, water, potassium chloride (for color), beta carotene",dairy
"INGREDIENTS: beta carotene, corn starch, canola oil, (may contain traces of tree_nuts), lecithin, mono and diglycerides, sodium bisulfite, potato starch, prawn, carrageenan. CONTAINS shellfish. MAY CONTAIN celery, lupin DUE TO SHARED EQUIPMENT","celery,lupin,shellfish,sulphites,tree_nuts"
"paprika extract, (may contain traces of lupin, egg), beta carotene, vegetable oil, annatto, vitamin D, sodium bicarbonate, vitamin A (for color)","egg,lupin"
"INGREDIENTS: treated with sulfites, invert sugar, sunflower oil, sodium bicarbonate, corn syrup, fish protein, fish sauce, lecithin. MAY CONTAIN wheat, mustard DUE TO SHARED EQUIPMENT","fish,mustard,sulphites,wheat"
"rice flour, vegetable oil, almond flour, sunflower oil, preservatives, walnut oil, natural colors",tree_nuts
"vitamin A, calcium carbonate, palm oil, (produced in a facility that handles dairy, tree_nuts, mustard), miso, maltodextrin, soy sauce, sugar, edamame","dairy,mustard,soy,tree_nuts"
"xanthan gum, water, dextrose, cashew, folate, sugar, rice flour, potassium chloride, pecan, edamame","soy,tree_nuts"
"dried fruits with sulfites, invert sugar, preserved with sulfites, contains sulfites, corn starch, niacin",sulphites
"dextrose, lactic acid, calcium carbonate, water, celery spice, celery seeds, celery juice, vegetable oil, natural colors, paprika extract, maltodextrin",celery
"INGREDIENTS: pecan, chestnut, modified starch, maltodextrin, dextrose, sodium bisulfite. CONTAINS tree_nuts, sulphites","sulphites,tree_nuts"
"thiamine, baking powder, (may contain traces of tree_nuts, celery), soy, hydrolyzed soy protein, soy flour, guar gum","celery,soy,tree_nuts"
"lecithin, carrageenan, preservatives (for texture)",none
"INGREDIENTS: guar gum, milk, paprika extract, sodium bicarbonate, modified starch, maltodextrin. CONTAINS dairy",dairy
"lecithin, lactic acid, palm oil",none
"celery extract, shrimp paste, yeast, mono and diglycerides, guar gum (for color), meringue","celery,egg,shellfish"
"preservatives, mustard paste, shellfish extract, vegetable oil, lobster, carrageenan, (may contain traces of sesame), mustard oil, shrimp paste","mustard,sesame,shellfish"
"lecithin, rice flour, artificial flavors, calcium carbonate, vegetable oil, carrageenan, maltodextrin (as preservative)",none
"palm oil (as stabilizer), almond milk, sunflower oil, shellfish, crayfish, niacin, cashew","shellfish,tree_nuts"
"potato starch, sugar, anchovy, dried egg, fish oil, egg, artificial flavors, annatto, vitamin D, vitamin E (as preservative), egg lecithin, fish protein, carrageenan (for texture)","egg,fish"
"salt, annatto, riboflavin, vitamin A, abalone, sugar, squid, glucose (as preservative), celery leaves, canola oil, celery salt, snail, potassium chloride","celery,molluscs"
"invert sugar, vitamin E, rice flour, sesame protein, sesame, durum wheat, wheat germ, magnesium carbonate, guar gum, sunflower oil, turmeric, seitan","sesame,wheat"
"calcium carbonate, vitamin D, citric acid, sunflower oil (as stabilizer), corn syrup, annatto, sodium bicarbonate",none
"turmeric, vitamin D, dextrose, vegetable oil, citric acid",none
"annatto, citric acid, niacin, turmeric, soy protein, lactic acid, carrageenan",soy
"curd, sugar, beta carotene, guar gum, glucose (as stabilizer), dairy cream, maltodextrin (for color), peanut paste, folate, arachis oil","dairy,peanut"
"carrageenan, vitamin E, lupin concentrate, sodium bicarbonate (for texture), celeriac, celery seeds, lupini beans","celery,lupin"
"guar gum, salt (for color), sunflower oil, shellfish, krill, artificial flavors, citric acid, scallop, whelk, natural colors, oyster, vitamin A, niacin (for texture)","molluscs,shellfish"
"INGREDIENTS: sodium caseinate, vitamin A, ghee, folate (for color), edamame, rice flour, preserved with sulfites, sunflower oil, sulfur dioxide, tapioca starch, soybean, celery seeds, celery root, sulphites, semolina, bran, hydrolyzed soy protein, sodium bicarbonate. CONTAINS dairy, wheat. MAY CONTAIN lupin, egg, sesame DUE TO SHARED EQUIPMENT","celery,dairy,egg,lupin,sesame,soy,sulphites,wheat"
"INGREDIENTS: albumin, vegetable oil, egg yolk, egg powder, tapioca starch, dextrose, natural colors. CONTAINS egg",egg
"rice flour, baking powder (for texture), soy protein, krill, modified starch, lobster, shellfish extract, yeast, preserved with sulfites, guar gum, soy, sulphites","shellfish,soy,sulphites"
"INGREDIENTS: mono and diglycerides, yeast, krill, calcium carbonate, baking powder (as preservative), shellfish. CONTAINS shellfish",shellfish
"vitamin D, scallop, tempeh, riboflavin, soy flour, soy protein, palm oil, guar gum, baking powder, lactic acid","molluscs,soy"
"corn starch, potassium chloride, natural flavors (for texture), sunflower oil, turmeric, periwinkle, shellfish, dextrose, vitamin D","molluscs,shellfish"
"INGREDIENTS: water, mustard extract, vegetable oil, dextrose, dairy cream, baking powder, whelk, mustard seed, lecithin, mustard powder, artificial flavors","dairy,molluscs,mustard"
"baking powder, vitamin A, corn starch, canola oil (as preservative), lactic acid, natural flavors",none
"INGREDIENTS: shrimp paste, langoustine, shellfish, dairy cream, citric acid, tapioca starch, turmeric, magnesium carbonate, corn syrup, modified starch, folate. CONTAINS dairy","dairy,shellfish"
"INGREDIENTS: canola oil, celery juice, (may contain traces of soy, fish), artificial flavors, lecithin. CONTAINS fish","celery,fish,soy"
"thiamine, beta carotene, mono and diglycerides, celery stalk, turmeric, shrimp, corn syrup","celery,shellfish"
"INGREDIENTS: potato starch, salt, natural flavors, calcium carbonate",none
"butter, almond paste, dextrose (as preservative), corn syrup, milk protein isolate, xanthan gum, water, milk solids, corn starch","dairy,tree_nuts"
"corn starch, mono and diglycerides (as preservative), salt, abalone, sugar, (may be present: celery, tree_nuts)","celery,molluscs,tree_nuts"
"INGREDIENTS: gingelly oil, vitamin A, whole wheat flour, soy, maltodextrin, wheat protein, dextrose (for color), tamari, fructose, potassium chloride. CONTAINS soy, wheat, sesame","sesame,soy,wheat"
"mono and diglycerides, canola oil, wheat germ, wheat bran, glucose, folate (as preservative), durum wheat, xanthan gum, beta carotene, palm oil, riboflavin",wheat
"INGREDIENTS: vegetable oil (for texture), vitamin E, potato starch (for texture), lupin, lupin seeds, lupine, artificial flavors. CONTAINS lupin",lupin
"natto, lecithin, flour, textured vegetable protein, tapioca starch, wheat, paneer, sugar, whey, soybean, wheat bran","dairy,soy,wheat"
"artificial flavors, potassium bisulfite, natural colors, guar gum, sodium sulfite, beta carotene (as preservative), paprika extract, sulphites, sunflower oil",sulphites
"INGREDIENTS: dried fruits with sulfites, carrageenan, crayfish, paprika extract (for texture), vitamin D, vitamin E. MAY CONTAIN sesame, lupin, tree_nuts DUE TO SHARED EQUIPMENT","lupin,sesame,shellfish,sulphites,tree_nuts"
"INGREDIENTS: rice flour, sugar, dijon mustard, salt, mustard paste, mustard seed, natural flavors, tapioca starch. CONTAINS mustard",mustard
"baking powder, palm oil, mustard oil, fish paste, magnesium carbonate, fish powder, cod, mustard extract, mustard, carrageenan, guar gum, potassium chloride, sugar","fish,mustard"
"vegetable oil, natural flavors (as stabilizer), dextrose (as preservative), lactic acid, beta carotene (for color), carrageenan, thiamine, water, sesame",sesame
"preservatives, turmeric, salt, guar gum, annatto, natural colors, bread crumbs, palm oil",wheat
"rice flour (as stabilizer), maltodextrin, vitamin E, artificial flavors, globulin, paprika extract, egg protein, dried albumin",egg
"mono and diglycerides, calcium carbonate, sunflower oil, beta carotene (as preservative)",none
"INGREDIENTS: magnesium carbonate, carrageenan (for color), preservatives, glucose, lactic acid, sodium bicarbonate (as preservative), (manufactured on equipment that also processes sesame, tree_nuts), mono and diglycerides, niacin. CONTAINS tree_nuts, sesame","sesame,tree_nuts"
"INGREDIENTS: corn starch, casein, milk solids, tapioca starch, durum wheat, xanthan gum, yogurt, wheat bran, maltodextrin. CONTAINS wheat. MAY CONTAIN molluscs, tree_nuts DUE TO SHARED EQUIPMENT","dairy,molluscs,tree_nuts,wheat"
"xanthan gum, ground peanuts, water, lupin bean powder, artificial flavors, peanut protein, palm oil, peanut sauce, lupine","lupin,peanut"
"INGREDIENTS: citric acid, artificial flavors, meringue, fructose, egg white, wheat, corn starch","egg,wheat"
"INGREDIENTS: invert sugar (as preservative), water, tapioca starch, lupin flour, folate, dextrose (for texture), fructose, sugar (as stabilizer). MAY CONTAIN lupin DUE TO SHARED EQUIPMENT",lupin
"INGREDIENTS: sodium bicarbonate, textured vegetable protein, mono and diglycerides, tamari, vitamin D, paprika extract, niacin, modified starch, guar gum, soy flour",soy
"INGREDIENTS: wheat protein, annatto, thiamine, guar gum, (processed in a facility that also processes fish), fructose, vegetable oil. CONTAINS fish, wheat. MAY CONTAIN wheat, sulphites, mustard DUE TO SHARED EQUIPMENT","fish,mustard,sulphites,wheat"
"glucose, mustard flour, krill, dijon mustard, salt, water, artificial flavors, mustard, vegetable oil, invert sugar, maltodextrin, shellfish, corn syrup","mustard,shellfish"
"paprika extract, salt, tapioca starch, soya",soy
"sugar, thiamine, peanut butter, peanut sauce, natural colors, fish paste, albumin, almond flour, artificial flavors, fructose (for color), almond, fish protein, peanut protein","egg,fish,peanut,tree_nuts"
"INGREDIENTS: tapioca starch, (manufactured on equipment that also processes soy, wheat), canola oil, shrimp paste, rice flour, peanut sauce, shellfish, xanthan gum, prawn, annatto, invert sugar, glucose. CONTAINS soy, peanut. MAY CONTAIN fish, soy DUE TO SHARED EQUIPMENT","fish,peanut,shellfish,soy,wheat"
"mustard paste, vegetable oil, riboflavin, maltodextrin, guar gum, natural colors, mustard, yellow mustard, sodium bicarbonate (for color)",mustard
"INGREDIENTS: potato starch, peanut flour, vegetable oil, niacin. CONTAINS peanut",peanut
"INGREDIENTS: celery spice, vitamin E (as stabilizer), celery leaves, milk protein, celeriac, magnesium carbonate, xanthan gum. CONTAINS celery, dairy. MAY CONTAIN tree_nuts DUE TO SHARED EQUIPMENT","celery,dairy,tree_nuts"
"sugar, vegetable oil, turmeric, citric acid, prawn, shellfish extract, dijon mustard, water, yeast, maltodextrin","mustard,shellfish"
"citric acid, peanut, calcium carbonate, dried egg, peanut sauce, peanut paste, egg white, lactic acid","egg,peanut"
"INGREDIENTS: peanut sauce, beer nuts, paprika extract, arachis oil, thiamine, natural colors, modified starch, (may contain traces of egg, sulphites, celery), water","celery,egg,peanut,sulphites"
"mono and diglycerides, tamari, textured vegetable protein, tempeh, monkey nuts, artificial flavors (as stabilizer), sodium bicarbonate, pine nut, lactic acid, goober peas, chestnut","peanut,soy,tree_nuts"
"INGREDIENTS: magnesium carbonate, sodium metabisulfite, treated with sulfites, guar gum, vitamin E, carrageenan, potato starch, potassium chloride. CONTAINS sulphites. MAY CONTAIN celery, wheat, soy DUE TO SHARED EQUIPMENT","celery,soy,sulphites,wheat"
"INGREDIENTS: semolina, arachis oil, palm oil, ground peanuts, lactic acid, milk solids, artificial flavors, whey, fish extract, annatto, paneer. CONTAINS fish, dairy, wheat, peanut. MAY CONTAIN sesame DUE TO SHARED EQUIPMENT","dairy,fish,peanut,sesame,wheat"
"rice flour, preservatives, potassium chloride, cashew butter, almond, canola oil, beta carotene, (produced in a facility that handles sulphites)","sulphites,tree_nuts"
"INGREDIENTS: potassium chloride, ground peanuts, arachis oil, ground nut oil, xanthan gum, tuna, mono and diglycerides, canola oil, surimi, fish extract. CONTAINS fish. MAY CONTAIN celery, shellfish DUE TO SHARED EQUIPMENT","celery,fish,peanut,shellfish"
"INGREDIENTS: (manufactured on equipment that also processes soy, mustard), shrimp, calcium carbonate, xanthan gum, turmeric, krill, crab. MAY CONTAIN sulphites, celery, tree_nuts DUE TO SHARED EQUIPMENT","celery,mustard,shellfish,soy,sulphites,tree_nuts"
"INGREDIENTS: mustard oil, rice flour, thiamine, xanthan gum, corn syrup, turmeric (for texture), lecithin, corn starch, artificial flavors. CONTAINS mustard",mustard
"dextrose, citric acid, water, pasta, preservatives",wheat
"shrimp paste, baking powder, annatto, sunflower oil (as stabilizer), magnesium carbonate, preservatives, lactic acid, crawfish, goober peas, natural flavors","peanut,shellfish"
"folate, baking powder, dextrose (as preservative), preservatives",none
"tuna, canola oil, magnesium carbonate, calcium carbonate, whole wheat flour, wheat protein, folate (as preservative), soy sauce, pasta, (processed in a facility that also processes soy, mustard, celery), beta carotene, lactic acid","celery,fish,mustard,soy,soy,wheat"
"xanthan gum, modified starch, vitamin A, mono and diglycerides, yeast, artificial flavors (for texture)",none
"salt, natural flavors, natural colors, corn starch (as preservative), turmeric, guar gum, vegetable oil",none
"potassium bisulfite, potassium chloride, xanthan gum, preserved with sulfites, contains sulfites, baking powder",sulphites
"INGREDIENTS: sugar, soy lecithin, vitamin D, til, annatto, thiamine, miso, vegetable oil, magnesium carbonate, dextrose. CONTAINS soy. MAY CONTAIN molluscs, lupin, sesame DUE TO SHARED EQUIPMENT","lupin,molluscs,sesame,soy"
"INGREDIENTS: artificial flavors, maltodextrin, rice flour, annatto",none
"salt, modified starch, corn starch, sunflower oil, lecithin, seafood, hazelnut, thiamine","shellfish,tree_nuts"
"egg lecithin, annatto, langoustine, (manufactured on equipment that also processes sesame), maltodextrin, vitamin D, lecithin, prawn","egg,sesame,shellfish"
"INGREDIENTS: tapioca starch, beer nuts, xanthan gum, maltodextrin, semolina, bran, ground peanuts, ground nut oil. CONTAINS peanut. MAY CONTAIN molluscs, dairy, sesame DUE TO SHARED EQUIPMENT","dairy,molluscs,peanut,sesame,wheat"
"INGREDIENTS: glucose, beta carotene, beer nuts, riboflavin, calcium carbonate, (manufactured on equipment that also processes tree_nuts). MAY CONTAIN mustard, fish, celery DUE TO SHARED EQUIPMENT","celery,fish,mustard,peanut,tree_nuts"
"INGREDIENTS: vitamin E, glucose, mollusc powder, lactic acid, mono and diglycerides, octopus, magnesium carbonate, potato starch, calcium carbonate (for color), periwinkle. CONTAINS molluscs",molluscs
"magnesium carbonate, fish paste, beer nuts, peanut flour, surimi, beta carotene, salmon, potato starch, baking powder","fish,peanut"
"INGREDIENTS: sunflower oil, seafood, invert sugar, lobster, prawn, maltodextrin, tapioca starch, niacin, corn syrup, paprika extract (as preservative). CONTAINS shellfish. MAY CONTAIN mustard, peanut, wheat DUE TO SHARED EQUIPMENT","mustard,peanut,shellfish,wheat"
"fructose, natural flavors, corn syrup, natural colors, sodium bicarbonate",none
"vitamin E, pasteurized egg, magnesium carbonate, paprika extract, flour, carrageenan, lecithin","egg,wheat"
"fish extract, turmeric, modified starch, tamari, natural flavors (for texture), salmon, yeast","fish,soy"
"calcium carbonate, corn syrup, turmeric, canola oil, tapioca starch, glucose, modified starch, rice flour, mustard",mustard
"palm oil, modified starch, carrageenan, potato starch, water, potassium chloride, tamari, bran, magnesium carbonate","soy,wheat"
"dextrose, artificial flavors, potassium chloride (as stabilizer), citric acid, riboflavin, thiamine",none
"dextrose, sugar, fish paste, glucose, sardine, celery stalk, salt, natural flavors, annatto, palm oil","celery,fish"
"paprika extract, lactic acid, calcium carbonate, turmeric",none
"tapioca starch (for texture), dried egg, water, peanut flour, vitamin A (for texture), arachis oil, sodium bicarbonate","egg,peanut"
"INGREDIENTS: vitamin E, vegetable oil, natural colors, carrageenan, artificial flavors, fructose, preservatives (as stabilizer)",none
"INGREDIENTS: tapioca starch, salt, potato starch, potassium metabisulfite, dextrose, lactic acid, sodium bicarbonate, potassium chloride, natural flavors. CONTAINS sulphites",sulphites
"niacin, invert sugar, walnut oil, cashew butter, natural colors, calcium carbonate, yeast, mono and diglycerides (for texture), monkey nuts, corn starch (as preservative), peanut sauce, beer nuts, preservatives (as preservative)","peanut,tree_nuts"
"dextrose, potato starch, guar gum",none
"vitamin D (for color), marzipan, walnut, almond flour, canola oil, palm oil, fish paste, turmeric (as preservative), natural flavors, baking powder (as stabilizer), sunflower oil, anchovy","fish,tree_nuts"
"invert sugar, soy lecithin, mustard flour, soy, rice flour, natto, turmeric, mustard oil","mustard,soy"
"celery juice, fructose, vitamin A, beta carotene, maltodextrin",celery
"INGREDIENTS: mustard powder, preservatives, mustard oil, water, thiamine, corn syrup (for color), natural colors. MAY CONTAIN wheat, sesame DUE TO SHARED EQUIPMENT","mustard,sesame,wheat"
"lupin seeds, lupin flour, niacin, guar gum, baking powder, lupini beans, sugar, natural colors",lupin
"vitamin D (as stabilizer), canola oil, beta carotene, palm oil, natural colors (as preservative), shrimp paste, fructose, sodium bicarbonate, niacin",shellfish
"lupine, artificial flavors, sweet lupin, tapioca starch, surimi, sodium bicarbonate (for color), lupin seeds, fish paste, dried egg, yeast, fish stock","egg,fish,lupin"
"INGREDIENTS: invert sugar, calcium carbonate, water, mono and diglycerides, xanthan gum, lactic acid, folate",none
"vegetable oil, magnesium carbonate (for color), potassium chloride (as preservative), lecithin, celery, natural flavors (as stabilizer), rice flour",celery
"INGREDIENTS: xanthan gum, tapioca starch, salt, fructose, natural flavors (as stabilizer), palm oil, canola oil",none
"egg yolk, mustard, xanthan gum, dijon mustard, lecithin, salt, mollusc extract, albumin, invert sugar, sesame seed, modified starch (for color), sugar, vegetable oil, sesame oil, peanut flour, fructose, ground peanuts","egg,molluscs,mustard,peanut,sesame"
"water, lactic acid (for color), (processed in a facility that also processes fish, molluscs, egg), turmeric, sesame oil, tahini, yogurt, mustard extract, yeast, fructose, vegetable oil, milk fat, invert sugar (as stabilizer)","dairy,egg,fish,molluscs,mustard,sesame"
"INGREDIENTS: maltodextrin, palm oil, modified starch, fructose, salmon, tuna, dextrose, preservatives, corn starch, salt, soy, miso, soybean. CONTAINS fish","fish,soy"
"INGREDIENTS: tuna, fish sauce, calcium carbonate, tapioca starch, citric acid. CONTAINS fish. MAY CONTAIN sesame DUE TO SHARED EQUIPMENT","fish,sesame"
"mustard flour, sesame oil, almond, sesame, vitamin E, tahini, guar gum, potassium chloride, calamari","molluscs,mustard,sesame,tree_nuts"
"natto, carrageenan (for texture), crab, sesame paste, soybean, preservatives, tahini, langoustine, glucose, til, turmeric, fructose, soy sauce, shrimp paste, dextrose, calcium carbonate","sesame,shellfish,soy"
"INGREDIENTS: water (for color), calcium carbonate, tapioca starch. MAY CONTAIN molluscs DUE TO SHARED EQUIPMENT",",molluscs"
"monkey nuts, ground peanuts, mono and diglycerides, tapioca starch, (processed in a facility that also processes dairy, sesame, tree_nuts), sugar, mustard oil","dairy,mustard,peanut,sesame,tree_nuts"
"INGREDIENTS: calcium carbonate, citric acid, corn syrup, almond milk, mustard flour, vitamin D, wheat protein, canola oil (as stabilizer), peanut protein, mustard oil, wheat bran, cashew butter, peanut paste, sodium bicarbonate, vegetable oil, lobster, mustard paste. MAY CONTAIN molluscs, sesame DUE TO SHARED EQUIPMENT","molluscs,mustard,peanut,sesame,shellfish,tree_nuts,wheat"
"sugar, potassium chloride, dextrose, shrimp paste, thiamine, crayfish, chestnut, potato starch, almond, almond paste","shellfish,tree_nuts"
"corn starch, sesame protein, sesame seed, gingelly oil, guar gum, natural colors, lupini, annatto, fructose, turmeric, lactic acid, lupine","lupin,sesame"
"palm oil, sunflower oil, vegetable oil (for color), guar gum, fructose",none
"sunflower oil, sodium bicarbonate, water, vitamin A, potassium chloride, preservatives, cashew, chestnut, annatto (as stabilizer), almond paste",tree_nuts
"INGREDIENTS: calcium carbonate, turmeric, thiamine, almond paste, vitamin E, sesame seed, sesame paste","sesame,tree_nuts"
"langoustine, water, seafood, magnesium carbonate, baking powder, vegetable oil",shellfish
"egg lecithin, turmeric, invert sugar, citric acid, vitamin E, corn syrup, canola oil",egg
"preserved with sulfites, lupin bean powder, vitamin D (for color), magnesium carbonate, artificial flavors, celery seeds, sweet lupin, skimmed milk powder, rice flour, sodium metabisulfite, vitamin A, sugar, shellfish, celery root, salt, lupini, sodium sulfite, modified starch, cheese","celery,dairy,lupin,shellfish,sulphites"
"natural flavors, yeast, invert sugar (as preservative), riboflavin",none
"INGREDIENTS: vegetable oil, surimi, lupini, fish powder, cheese, egg wash, cashew, mono and diglycerides (for texture), calcium carbonate, globulin, vitamin D, potassium chloride, milk protein isolate. CONTAINS tree_nuts, dairy, fish","dairy,egg,fish,lupin,tree_nuts"
"ground nut oil, rice flour, vitamin A (as stabilizer), arachis oil, corn syrup, ground peanuts, invert sugar, wheat bran, potassium chloride","peanut,wheat"
"lupine, preservatives (as stabilizer), periwinkle, oyster, ghee, til, artificial flavors, dextrose, lactic acid, corn syrup, natural colors (for color), mussel, sodium caseinate, celery spice, curd, celery stalk, lupin, lupin concentrate","celery,dairy,lupin,molluscs,sesame"
"yellow mustard, mustard oil, turmeric, thiamine (as preservative), vitamin E, paprika extract, corn syrup, xanthan gum, sugar",mustard
"natural colors, dried albumin, salt, egg lecithin, palm oil, dried egg, mollusc extract, calcium carbonate, hazelnut, marzipan, glucose, walnut oil, yeast","egg,molluscs,tree_nuts"
"INGREDIENTS: chestnut, lupin, annatto (as stabilizer), macadamia, vitamin D, salt, citric acid, pine nut. CONTAINS lupin","lupin,tree_nuts"
"canola oil (as preservative), lactic acid, pasta, glucose",wheat
"corn starch, peanut oil, xanthan gum, oyster, magnesium carbonate, peanut flour","molluscs,peanut"
"INGREDIENTS: fish stock, surimi, corn syrup, tapioca starch, mackerel, water, sodium bicarbonate, lactic acid, sugar, thiamine, niacin. CONTAINS fish",fish
"lupin concentrate, sweet lupin, carrageenan (as preservative), guar gum, riboflavin (as preservative), corn starch, canola oil, modified starch",lupin
"vitamin E, fructose, invert sugar, wine preservative (sulfites), guar gum, tahini, potassium chloride, mono and diglycerides, canola oil, natural colors","sesame,sulphites"
"INGREDIENTS: glucose (as stabilizer), salt, xanthan gum, water, potato starch, guar gum, magnesium carbonate (for color), modified starch",none
"INGREDIENTS: sunflower oil, canola oil, soy lecithin, celeriac, pasta, wheat starch, folate, fish stock, modified starch, seitan, calcium carbonate. CONTAINS wheat, fish","celery,fish,soy,wheat"
"fish extract, artificial flavors, (processed in a facility that also processes wheat, celery), natural flavors (as stabilizer), sodium caseinate, thiamine, cheese, fish stock, glucose","celery,dairy,fish,wheat"
"magnesium carbonate, sesame oil, tapioca starch, citric acid, carrageenan, white sesame, palm oil, egg protein, dextrose","egg,sesame"
"fructose, dextrose, annatto, vitamin D, ground nut oil, celery powder, milk fat, peanut flour, celery extract, carrageenan","celery,dairy,peanut"
"clam, annatto, whelk, calcium carbonate, lecithin, oyster, potato starch, natural flavors",molluscs
"sulphites, vitamin E, sugar, calcium carbonate, wine preservative (sulfites), wheat germ, sodium metabisulfite, ground nut oil, carrageenan, durum wheat, dextrose, modified wheat starch","peanut,sulphites,wheat"
"dextrose, turmeric, buttermilk, globulin, potato starch, mono and diglycerides, egg protein, sodium caseinate, cream, modified starch (as preservative), dried albumin, baking powder","dairy,egg"
"potassium chloride, lecithin, canola oil, annatto",none
"tapioca starch, lecithin, annatto, vegetable oil, (processed in a facility that also processes fish, lupin)","fish,lupin"
"peanut sauce, calcium carbonate, guar gum, corn starch, arachis oil, potassium metabisulfite, invert sugar, niacin","peanut,sulphites"
"vitamin E, potato starch, citric acid, soy lecithin, soy protein, edamame",soy
"INGREDIENTS: vitamin A, cashew butter, walnut oil, salt (as stabilizer), beta carotene, vegetable oil (for texture), potassium chloride, sodium bicarbonate, palm oil (as stabilizer). CONTAINS tree_nuts",tree_nuts
"sesame oil, beta carotene, canola oil, salt, white sesame, sesame, guar gum, mono and diglycerides, riboflavin, baking powder",sesame
"baking powder, sunflower oil, dextrose, modified starch, cod, lupini, peanut oil, lupine, soy flour, rice flour, peanut, miso, fish powder","fish,lupin,peanut,soy"
"lobster, guar gum, lactic acid, corn syrup, baking powder, potassium chloride, (produced in a facility that handles sesame), shellfish extract, annatto, carrageenan","sesame,shellfish"
"corn starch, vitamin E, rice flour, xanthan gum (for color)",none
"turmeric, sodium sulfite, maltodextrin, sugar, carrageenan (for texture), treated with sulfites, lactic acid (for texture), (may be present: soy, sesame, egg), guar gum","egg,sesame,soy,sulphites"
"thiamine, lecithin, calcium carbonate, xanthan gum, tuna, canola oil",fish
"vegetable oil, pistachio, dried fruits with sulfites, lecithin, sulfur dioxide, canola oil, sugar, thiamine, potassium metabisulfite, soy sauce, soy flour, cashew, almond flour, vitamin A","soy,sulphites,tree_nuts"
"INGREDIENTS: tapioca starch (as preservative), magnesium carbonate, yeast, carrageenan, dextrose",none
"mono and diglycerides, durum wheat, fructose, magnesium carbonate, rice flour, egg, semolina, lysozyme, thiamine","egg,wheat"
"fish, sulfur dioxide, modified starch, anchovy, fish protein, corn starch (for color), maltodextrin, tapioca starch, folate, turmeric, invert sugar","fish,sulphites"
"arachis oil, wheat gluten, pasteurized egg, durum wheat, vitamin D, turmeric, potassium chloride, tapioca starch, beer nuts, ground nut oil, annatto","egg,peanut,wheat"
"sweet lupin, tapioca starch (for texture), yeast, sodium bicarbonate (as stabilizer), dextrose, lupin concentrate, magnesium carbonate, mustard oil, baking powder, lupin, lactic acid, mustard flour","lupin,mustard"
"celery root, rice flour, sunflower oil, celery extract, celery spice, canola oil",celery
"natural flavors, citric acid, lecithin",none
"paprika extract, annatto, riboflavin, invert sugar, preservatives",none
"clam juice, sodium bicarbonate, turmeric, fructose, rice flour, guar gum, preservatives, scallop, carrageenan",molluscs
"INGREDIENTS: vitamin A, dextrose, invert sugar, sugar, glucose, natural colors, riboflavin",none
"dextrose, folate, (may contain traces of soy, egg), niacin, glucose, rice flour","egg,soy"
"INGREDIENTS: folate, cashew butter, lecithin, invert sugar, vitamin D, celery salt, preservatives, calcium carbonate (for color), (manufactured on equipment that also processes sulphites, sesame), celery powder. CONTAINS tree_nuts, sulphites. MAY CONTAIN sesame, molluscs, lupin DUE TO SHARED EQUIPMENT","celery,lupin,molluscs,sesame,sulphites,tree_nuts"
